ats_score,skill_score,keyword_score,semantic_score,experience_score,education_score,project_score,coding_score,aptitude_score,interview_score,selected
35.8,20.0,100.0,16.3,30.0,40.0,30.0,0.0,0.0,0.0,0
45.8,40.0,100.0,36.4,30.0,40.0,30.0,0.0,0.0,0.0,0
36.4,20.0,100.0,19.7,30.0,40.0,30.0,0.0,0.0,0.0,0
39.4,20.0,100.0,34.6,30.0,40.0,30.0,0.0,0.0,0.0,0
46.9,40.0,100.0,42.1,30.0,40.0,30.0,0.0,0.0,0.0,0
42.5,20.0,100.0,49.9,30.0,40.0,30.0,0.0,0.0,0.0,0
36.1,20.0,100.0,18.1,30.0,40.0,30.0,0.0,0.0,0.0,0
45.6,40.0,100.0,35.3,30.0,40.0,30.0,0.0,0.0,0.0,0
45.9,40.0,100.0,36.9,30.0,40.0,30.0,0.0,0.0,0.0,0
37.7,20.0,100.0,26.0,30.0,40.0,30.0,0.0,0.0,0.0,0
37.8,20.0,100.0,26.6,30.0,40.0,30.0,0.0,0.0,0.0,0
37.5,20.0,95.0,28.7,30.0,40.0,30.0,0.0,0.0,0.0,0
46.6,40.0,95.0,44.3,30.0,40.0,30.0,0.0,0.0,0.0,0
36.5,20.0,95.0,23.9,30.0,40.0,30.0,0.0,0.0,0.0,0
28.8,0.0,95.0,15.1,30.0,40.0,30.0,0.0,0.0,0.0,0
40.0,20.0,95.0,41.1,30.0,40.0,30.0,0.0,0.0,0.0,0
28.8,0.0,95.0,15.4,30.0,40.0,30.0,0.0,0.0,0.0,0
37.6,20.0,95.0,29.5,30.0,40.0,30.0,0.0,0.0,0.0,0
42.8,20.0,100.0,43.8,30.0,50.0,35.0,0.0,0.0,0.0,0
49.9,40.0,100.0,49.6,30.0,50.0,35.0,0.0,0.0,0.0,0
30.8,0.0,100.0,14.0,30.0,50.0,35.0,0.0,0.0,0.0,0
35.4,0.0,100.0,36.8,30.0,50.0,35.0,0.0,0.0,0.0,0
44.3,20.0,100.0,51.7,30.0,50.0,35.0,0.0,0.0,0.0,0
41.4,20.0,100.0,37.0,30.0,50.0,35.0,0.0,0.0,0.0,0
41.6,20.0,100.0,38.2,30.0,50.0,35.0,0.0,0.0,0.0,0
37.2,20.0,80.0,31.1,30.0,50.0,35.0,0.0,0.0,0.0,0
46.1,40.0,80.0,45.5,30.0,50.0,35.0,0.0,0.0,0.0,0
26.7,0.0,80.0,8.4,30.0,50.0,35.0,0.0,0.0,0.0,0
31.0,0.0,80.0,29.9,30.0,50.0,35.0,0.0,0.0,0.0,0
31.9,0.0,80.0,34.3,30.0,50.0,35.0,0.0,0.0,0.0,0
28.5,0.0,80.0,17.5,30.0,50.0,35.0,0.0,0.0,0.0,0
36.9,20.0,80.0,29.7,30.0,50.0,35.0,0.0,0.0,0.0,0
27.1,0.0,55.0,29.1,30.0,50.0,35.0,0.0,0.0,0.0,0
27.0,0.0,55.0,28.5,30.0,50.0,35.0,0.0,0.0,0.0,0
34.5,20.0,55.0,36.5,30.0,50.0,35.0,0.0,0.0,0.0,0
23.6,0.0,55.0,12.0,30.0,50.0,35.0,0.0,0.0,0.0,0
26.5,0.0,55.0,26.5,30.0,50.0,35.0,0.0,0.0,0.0,0
30.0,0.0,55.0,43.8,30.0,50.0,35.0,0.0,0.0,0.0,0
35.2,20.0,55.0,39.8,30.0,50.0,35.0,0.0,0.0,0.0,0
25.1,0.0,55.0,19.4,30.0,50.0,35.0,0.0,0.0,0.0,0
21.3,0.0,20.0,4.1,30.0,100.0,30.0,0.0,0.0,0.0,0
23.4,0.0,20.0,14.6,30.0,100.0,30.0,0.0,0.0,0.0,0
23.3,0.0,20.0,13.8,30.0,100.0,30.0,0.0,0.0,0.0,0
21.5,0.0,20.0,5.1,30.0,100.0,30.0,0.0,0.0,0.0,0
23.4,0.0,20.0,14.4,30.0,100.0,30.0,0.0,0.0,0.0,0
21.5,0.0,20.0,4.9,30.0,100.0,30.0,0.0,0.0,0.0,0
20.7,0.0,15.0,4.7,30.0,100.0,30.0,0.0,0.0,0.0,0
19.8,0.0,15.0,0.1,30.0,100.0,30.0,0.0,0.0,0.0,0
22.5,0.0,15.0,13.5,30.0,100.0,30.0,0.0,0.0,0.0,0
20.8,0.0,15.0,5.0,30.0,100.0,30.0,0.0,0.0,0.0,0
22.6,0.0,15.0,14.2,30.0,100.0,30.0,0.0,0.0,0.0,0
